sbom_code,name,URL,path,dependencies,licenses,critical,high,medium,low,quality,format,version,successfully_processed,sbomqs_processed,osv_processed,cyclonedx_processed,sbom_utility_processed,pyspdxtools_processed,ntia_processed,cyclonedx_res,sbom_utility_res,pyspdxtools_res,ntia_res,language
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_hpdbn3p0_docker.io_matrixdotorg_synapse:v1.116.0.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/docker.io_matrixdotorg_synapse:v1.116.0.json,sboms/docker.io_matrixdotorg_synapse:v1.116.0.json,240,912,0,0,0,0,8.03,cyclonedx_json,1.6,True,True,False,True,True,False,False,True,True,False,False,other
element-hq_ess-starter-edition-core_485d84a5f7d7de99053cf43a191cfaa4eeb6a986_y1hov5oe_docker.io_vectorim_ess-core-updater:2.21.1.json,ess-starter-edition-core,https://raw.githubusercontent.com/element-hq/ess-starter-edition-core/485d84a5f7d7de99053cf43a191cfaa4eeb6a986/sboms/docker.io_vectorim_ess-core-updater:2.21.1.json,sboms/docker.io_vectorim_ess-core-updater:2.21.1.json,359,216,0,0,0,0,7.59,cyclonedx_json,1.6,True,True,False,True,True,False,False,True,True,False,False,other
elixir-lang_elixir_920a6a0a42a80317e0d297273f35a8aac42731c3_8xh9xju5_project.spdx.yml,elixir,https://raw.githubusercontent.com/elixir-lang/elixir/920a6a0a42a80317e0d297273f35a8aac42731c3/project.spdx.yml,project.spdx.yml,8,11,0,0,0,0,0,spdx_yaml,SPDX-2.2,True,False,False,False,False,True,True,False,False,,False,other
elixir-lang_elixir_release_tlt7chp6_elixir-lang_elixir_release_main-latest.bom.cyclonedx.xml,elixir,https://github.com/elixir-lang/elixir/releases/download/main-latest/bom.cyclonedx.xml,elixir-lang_elixir_release_main-latest.bom.cyclonedx.xml,6,7,0,0,0,0,8.42,cyclnedx_xml,1.6,True,True,True,True,False,False,False,False,False,False,False,other
elixir-lang_elixir_release_ym13nes9_elixir-lang_elixir_release_main-latest.bom.spdx.json,elixir,https://github.com/elixir-lang/elixir/releases/download/main-latest/bom.spdx.json,elixir-lang_elixir_release_main-latest.bom.spdx.json,13,17,0,0,0,0,8.17,spdx_json,SPDX-2.2,True,True,True,False,True,True,True,False,True,,True,other
elixir-lang_elixir_release_t6o2rjz0_elixir-lang_elixir_release_main-latest.bom.spdx.yml,elixir,https://github.com/elixir-lang/elixir/releases/download/main-latest/bom.spdx.yml,elixir-lang_elixir_release_main-latest.bom.spdx.yml,13,17,0,0,0,0,8.17,spdx_yaml,SPDX-2.2,True,True,False,False,False,True,True,False,False,,True,other
elixir-lang_elixir_release_eoa38vha_elixir-lang_elixir_release_main-latest.bom.cyclonedx.json,elixir,https://github.com/elixir-lang/elixir/releases/download/main-latest/bom.cyclonedx.json,elixir-lang_elixir_release_main-latest.bom.cyclonedx.json,6,7,0,0,0,0,8.42,cyclonedx_json,1.6,True,True,False,True,True,False,False,True,True,False,False,other
external-secrets_external-secrets_release_an0yenim_external-secrets_external-secrets_release_v0.16.1.sbom.v0.16.1.spdx.json,external-secrets,https://github.com/external-secrets/external-secrets/releases/download/v0.16.1/sbom.v0.16.1.spdx.json,external-secrets_external-secrets_release_v0.16.1.sbom.v0.16.1.spdx.json,3,1,0,0,0,0,7.1,spdx_json,SPDX-2.2,True,True,True,False,True,True,False,False,False,,False,Go
external-secrets_external-secrets_release_e6mle08r_external-secrets_external-secrets_release_v0.16.1.sbom.v0.16.1-ubi-boringssl.spdx.json,external-secrets,https://github.com/external-secrets/external-secrets/releases/download/v0.16.1/sbom.v0.16.1-ubi-boringssl.spdx.json,external-secrets_external-secrets_release_v0.16.1.sbom.v0.16.1-ubi-boringssl.spdx.json,5,5,0,0,0,0,6.09,spdx_json,SPDX-2.2,True,True,True,False,True,True,False,False,False,,False,Go
external-secrets_external-secrets_release_4ougsyn3_external-secrets_external-secrets_release_v0.16.1.sbom.v0.16.1-ubi.spdx.json,external-secrets,https://github.com/external-secrets/external-secrets/releases/download/v0.16.1/sbom.v0.16.1-ubi.spdx.json,external-secrets_external-secrets_release_v0.16.1.sbom.v0.16.1-ubi.spdx.json,5,5,0,0,0,0,6.09,spdx_json,SPDX-2.2,True,True,True,False,True,True,False,False,False,,False,Go
