id,project_name,url,dependency_count,licenses_count,critical_cves_count,high_cves_count,medium_cves_count,low_cves_count,sbomqs_rating,format,format_version,origin,tool,creation_time
50,debian:latest,https://hub.docker.com/_/debian,713,0,0,0,0,0,6.36,spdx,SPDX-2.3,docker,bom-v0.5.1,2023-12-07T05:01:22Z
51,debian,https://hub.docker.com/_/debian,126,56,0,0,0,0,7.46,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:00:58Z
52,wordpress,https://hub.docker.com/_/wordpress,268,199,0,0,0,0,8.55,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:01:41Z
53,wordpress:latest,https://hub.docker.com/_/wordpress,267,199,0,0,0,0,8.35,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:01:42Z
54,wordpress,https://hub.docker.com/_/wordpress,371,104,0,0,0,0,7.5,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:01:34Z
55,python,https://hub.docker.com/_/python,442,269,0,0,0,2,8.56,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:20:08Z
56,python:latest,https://hub.docker.com/_/python,435,287,0,0,0,2,8.32,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:20:09Z
57,python,https://hub.docker.com/_/python,574,140,0,0,0,2,7.52,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:19:57Z
58,eclipse-mosquitto,https://hub.docker.com/_/eclipse-mosquitto,22,12,0,0,0,0,8.88,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:39:25Z
59,eclipse-mosquitto:latest,https://hub.docker.com/_/eclipse-mosquitto,23,8,0,0,0,0,8.53,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:39:26Z
60,eclipse-mosquitto,https://hub.docker.com/_/eclipse-mosquitto,24,8,0,0,0,0,8.48,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:39:24Z
61,clojure,https://hub.docker.com/_/clojure,275,170,0,0,0,3,8.23,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:39:52Z
62,clojure:latest,https://hub.docker.com/_/clojure,273,171,0,0,0,3,7.97,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:39:53Z
